station_code,longitude,value
52889,103.8833,91
52895,104.6833,91
52895,104.69,275
52896,104.14,275
52896,104.15,91
52908,93.08,275
52908,93.0833,91
52941,100.26,275
52941,100.2667,91
52943,99.98,23
52943,99.9833,91
52943,100.0,252
52955,100.73,275
52955,100.7333,91
52957,100.6,366
52963,102.0167,91
52963,102.02,275
52968,101.4667,91
52968,101.47,275
52972,102.45,91
52972,102.46,275
52974,102.03,275
52974,102.0333,91
52978,102.49,275
52978,102.5,91
52980,103.3,366
52981,103.38,275
52981,103.3833,91
52982,103.55,91
52982,103.56,275
52983,104.14,275
52983,104.15,91
52984,103.18,275
52984,103.1833,91
52985,103.3333,91
52985,103.34,275
52986,103.86,275
52986,103.8667,91
52988,103.7167,91
52988,103.72,275
52993,105.06,275
52993,105.0667,91
52995,104.6,366
52996,105.0,91
52996,105.01,275
52998,104.2,366
53068,111.9333,91
53068,111.94,275
53083,114.15,366
53149,110.13,275
53149,110.1333,91
53192,115.0,366
53195,113.63,275
53195,113.6333,91
53231,106.4,366
53272,112.63,275
53272,112.6333,91
53276,112.9,366
53289,113.83,275
53289,113.8333,91
53324,107.05,366
53336,108.5167,91
53336,108.52,275
53337,108.4667,91
53337,108.47,275
53343,109.9667,91
53343,109.97,275
53348,109.13,275
53348,109.1333,91
53352,110.43,275
53352,110.4333,91
53357,110.1,366
53362,111.65,366
53367,111.23,275
53367,111.2333,91
53368,111.46,275
53368,111.4667,91
53378,112.6167,91
53378,112.62,275
53384,113.18,275
53384,113.1833,91
53385,113.5333,91
53385,113.54,275
53391,114.0,366
53392,114.56,275
53392,114.5667,91
53397,113.98,275
53397,113.9833,91
53399,114.7,366
53419,107.0,366
53420,107.1167,91
53420,107.12,275
53433,108.64,203
53433,108.65,163
53446,109.88,275
53446,109.8833,91
53455,110.53,275
53455,110.5333,91
53457,110.03,275
53457,110.0333,91
53463,111.5667,91
53463,111.57,275
53464,111.1667,91
53464,111.17,275
53466,111.7,366
53467,111.25,366
53469,111.8167,91
53469,111.82,275
53472,112.5667,91
53472,112.57,275
53475,112.4667,91
53475,112.47,275
53478,112.4667,91
53478,112.47,275
53480,113.0667,91
53480,113.07,275
53481,113.2,366
53483,113.83,275
53483,113.8333,91
53484,113.15,366
53486,113.7667,91
53486,113.77,275
53487,113.4167,91
53487,113.42,275
53488,113.58,275
53488,113.5833,91
53490,114.0667,91
53490,114.07,275
53491,114.38,275
53491,114.3833,91
53492,114.15,366
53498,115.03,275
53498,115.0333,91
53499,114.73,275
53499,114.7333,91
53502,105.75,366
53505,105.4,366
53512,106.8,366
53513,107.3667,91
53513,107.37,275
53517,106.33,275
53517,106.3333,91
53518,106.35,366
53519,106.76,275
53519,106.7667,91
53522,107.83,275
53522,107.8333,91
53529,107.96,275
53529,107.9667,91
53533,108.71,275
53533,108.7167,91
53543,110.01,275
53543,110.0167,91
53545,109.7,91
53545,109.71,275
53547,109.03,275
53547,109.0333,91
53553,111.2167,91
53553,111.22,275
53562,111.66,275
53562,111.6667,91
53564,111.2167,91
53564,111.22,275
53565,111.5,366
53567,111.0,366
53573,112.7,366
53574,112.2667,91
53574,112.27,275
53575,112.2,366
53576,112.8167,91
53576,112.82,275
53577,112.3,366
53578,112.43,275
53578,112.4333,91
53579,112.9167,91
53579,112.92,275
53580,113.1,366
53582,113.66,275
53582,113.6667,91
53584,113.1667,91
53584,113.17,275
53585,113.2667,91
53585,113.27,275
53588,113.5167,91
53588,113.52,275
53590,114.2667,91
53590,114.27,274
53590,133.99,1
53593,114.5667,91
53593,114.57,275
53594,114.2167,91
53594,114.22,275
53596,115.15,91
53596,115.16,275
53599,114.68,275
53599,114.6833,91
53602,105.6667,91
53602,105.67,275
53603,106.3667,91
53603,106.37,275
53610,106.34,275
53610,106.35,91
53611,106.55,366
53612,106.18,275
